Date,Description,Amount,Type
2026-04-01,Salary Credit - Acme Corp,65000,Credit
2026-04-02,Rent Payment - Lakeview Apartments,-18000,Debit
2026-04-03,BigBasket Grocery Order,-2450,Debit
2026-04-04,Electricity Board Payment,-1800,Debit
2026-04-05,Netflix Subscription,-649,Debit
2026-04-06,Swiggy Order,-540,Debit
2026-04-07,Uber Ride,-320,Debit
2026-04-08,Amazon Shopping,-3200,Debit
2026-04-10,Gym Membership,-1500,Debit
2026-04-12,Mobile Recharge Jio,-499,Debit
2026-04-14,Zomato Order,-610,Debit
2026-04-15,Movie Tickets PVR,-800,Debit
2026-04-18,BigBasket Grocery Order,-2100,Debit
2026-04-20,Credit Card Bill Payment,-4500,Debit
2026-04-22,Spotify Subscription,-119,Debit
2026-04-24,Petrol Pump,-2200,Debit
2026-04-25,Hospital Consultation Fee,-1200,Debit
2026-04-28,Water Bill Payment,-450,Debit
2026-04-29,Friend Dinner Split,-950,Debit
2026-04-30,Interest Credit Savings,150,Credit
2026-05-01,Salary Credit - Acme Corp,65000,Credit
2026-05-02,Rent Payment - Lakeview Apartments,-18000,Debit
2026-05-03,BigBasket Grocery Order,-2600,Debit
2026-05-04,Electricity Board Payment,-2000,Debit
2026-05-05,Netflix Subscription,-649,Debit
2026-05-06,Swiggy Order,-720,Debit
2026-05-08,Amazon Shopping,-5400,Debit
2026-05-09,Uber Ride,-410,Debit
2026-05-11,Mobile Recharge Jio,-499,Debit
2026-05-13,Zomato Order,-580,Debit
2026-05-15,BigBasket Grocery Order,-2300,Debit
2026-05-17,Credit Card Bill Payment,-5200,Debit
2026-05-19,Movie Tickets PVR,-900,Debit
2026-05-21,Gym Membership,-1500,Debit
2026-05-23,Petrol Pump,-2350,Debit
2026-05-25,Spotify Subscription,-119,Debit
2026-05-27,Pharmacy Purchase,-680,Debit
2026-05-28,Water Bill Payment,-450,Debit
2026-05-30,Interest Credit Savings,160,Credit
2026-06-01,Salary Credit - Acme Corp,65000,Credit
2026-06-02,Rent Payment - Lakeview Apartments,-18000,Debit
2026-06-03,BigBasket Grocery Order,-2900,Debit
2026-06-04,Electricity Board Payment,-2300,Debit
2026-06-05,Netflix Subscription,-649,Debit
2026-06-07,Swiggy Order,-810,Debit
2026-06-08,Amazon Shopping,-6100,Debit
2026-06-10,Uber Ride,-460,Debit
2026-06-12,Mobile Recharge Jio,-499,Debit
2026-06-14,Zomato Order,-690,Debit
2026-06-16,BigBasket Grocery Order,-2750,Debit
2026-06-18,Credit Card Bill Payment,-6000,Debit
2026-06-20,Movie Tickets PVR,-850,Debit
2026-06-21,Gym Membership,-1500,Debit
2026-06-23,Petrol Pump,-2500,Debit
2026-06-25,Spotify Subscription,-119,Debit
2026-06-27,Hospital Consultation Fee,-1500,Debit
2026-06-28,Water Bill Payment,-450,Debit
2026-06-30,Interest Credit Savings,170,Credit
2026-07-01,Salary Credit - Acme Corp,65000,Credit
2026-07-02,Rent Payment - Lakeview Apartments,-18000,Debit
2026-07-03,BigBasket Grocery Order,-3100,Debit
2026-07-04,Electricity Board Payment,-2450,Debit
2026-07-05,Netflix Subscription,-649,Debit
2026-07-06,Swiggy Order,-880,Debit
2026-07-08,Amazon Shopping,-4700,Debit
2026-07-09,Uber Ride,-390,Debit
2026-07-11,Mobile Recharge Jio,-499,Debit
2026-07-13,Zomato Order,-720,Debit
2026-07-15,BigBasket Grocery Order,-2950,Debit
2026-07-16,Movie Tickets PVR,-950,Debit
